Buffer1,CounterIon1,Fe2_source1,pH,Fh_g,Fe2_mM,Fe2Fh_mMg,Fh_pct,Gt_pct,Lp_pct,Mt_pct,Time_hr
PIPES,chloride,FeCl2,7.2,0.3,0.2,0.67,100,0,0,0,0
PIPES,chloride,FeCl2,7.2,0.3,0.2,0.67,84,1,15,0,2
PIPES,chloride,FeCl2,7.2,0.3,0.2,0.67,9,4,87,0,40
PIPES,chloride,FeCl2,7.2,0.3,0.2,0.67,6,8,86,0,132
PIPES,chloride,FeCl2,7.2,0.3,2,6.7,100,0,0,0,0
PIPES,chloride,FeCl2,7.2,0.3,2,6.7,30,7,59,4,2
PIPES,chloride,FeCl2,7.2,0.3,2,6.7,26,10,58,6,6
PIPES,chloride,FeCl2,7.2,0.3,2,6.7,13,14,63,10,12
PIPES,chloride,FeCl2,7.2,0.3,2,6.7,22,16,55,7,32
PIPES,chloride,FeCl2,7.2,0.3,2,6.7,21,13,27,39,132
PIPES,sulfate,FeSO4,7.2,0.3,0.2,0.67,100,0,0,0,0
PIPES,sulfate,FeSO4,7.2,0.3,0.2,0.67,41,11,48,0,2
PIPES,sulfate,FeSO4,7.2,0.3,0.2,0.67,14,30,56,0,6
PIPES,sulfate,FeSO4,7.2,0.3,0.2,0.67,5,45,50,0,40
PIPES,sulfate,FeSO4,7.2,0.3,0.2,0.67,7,46,47,0,132
PIPES,sulfate,FeSO4,7.2,0.3,2,6.7,100,0,0,0,0
PIPES,sulfate,FeSO4,7.2,0.3,2,6.7,33,59,8,0,2
PIPES,sulfate,FeSO4,7.2,0.3,2,6.7,28,78,0,0,6
PIPES,sulfate,FeSO4,7.2,0.3,2,6.7,28,72,0,0,12
PIPES,sulfate,FeSO4,7.2,0.3,2,6.7,23,68,0,8,40
PIPES,sulfate,FeSO4,7.2,0.3,2,6.7,18,55,0,27,132
bicarbonate,sulfate,FeSO4,7.2,0.3,0.2,0.67,100,0,0,0,0
bicarbonate,sulfate,FeSO4,7.2,0.3,0.2,0.67,44,56,0,0,132
bicarbonate,sulfate,FeSO4,7.2,0.3,2,6.7,100,0,0,0,0
bicarbonate,sulfate,FeSO4,7.2,0.3,2,6.7,30,70,0,0.0,132
PIPES,chloride,FeCl2,8,0.3,0.2,0.67,100,0,0,0,0
PIPES,chloride,FeCl2,8,0.3,0.2,0.67,11,8,57,24,120
PIPES,chloride,FeCl2,5,0.3,2,6.7,100,0,0,0,0
PIPES,chloride,FeCl2,5,0.3,2,6.7,66,12,21,0,120
PIPES,chloride,FeCl2,6,0.3,2,6.7,100,0,0,0,0
PIPES,chloride,FeCl2,6,0.3,2,6.7,31,0,69,0,120
PIPES,chloride,FeCl2,7,0.3,2,6.7,100,0,0,0,0
PIPES,chloride,FeCl2,7,0.3,2,6.7,33,0,36,31,120
PIPES,chloride,FeCl2,8,0.3,2,6.7,100,0,0,0,0
PIPES,chloride,FeCl2,8,0.3,2,6.7,8,0,0,92,120
PIPES,chloride,FeCl2,7,0.3,0.04,0.13,100,0,0,0,0
PIPES,chloride,FeCl2,7,0.3,0.04,0.13,55,19,26,0,120
PIPES,chloride,FeCl2,7,0.3,0.1,0.33,100,0,0,0,0
PIPES,chloride,FeCl2,7,0.3,0.1,0.33,39,8,53,0,120
PIPES,chloride,FeCl2,7,0.3,0.18,0.6,100,0,0,0,0
PIPES,chloride,FeCl2,7,0.3,0.18,0.6,36,25,39,0,120
PIPES,chloride,FeCl2,7,0.3,0.26,0.87,100,0,0,0,0
PIPES,chloride,FeCl2,7,0.3,0.26,0.87,28,32,40,0,120
PIPES,chloride,FeCl2,7,0.3,0.39,1.3,100,0,0,0,0
PIPES,chloride,FeCl2,7,0.3,0.39,1.3,20,38,31,11,120
PIPES,chloride,FeCl2,7,0.3,0.75,2.5,100,0,0,0,0
PIPES,chloride,FeCl2,7,0.3,0.75,2.5,14,32,8,46,120
PIPES,chloride,FeCl2,7,0.3,1.71,5.7,100,0,0,0,0
PIPES,chloride,FeCl2,7,0.3,1.71,5.7,9,25,0,66,120
PIPES,chloride,FeCl2,7,0.3,3.8,12.67,100,0,0,0,0
PIPES,chloride,FeCl2,7,0.3,3.8,12.67,11,26,0,62,120
MES,sulfate,FeSO4,6.17,0.5,1,2,100,0,0,0,0
MES,sulfate,FeSO4,6.17,0.5,1,2,93,5,2,0,5
MES,sulfate,FeSO4,6.17,0.5,1,2,80,12,8,0,10
MES,sulfate,FeSO4,6.17,0.5,1,2,59,19,22,0,15
MES,sulfate,FeSO4,6.17,0.5,1,2,29,32,39,0,20
MES,sulfate,FeSO4,6.17,0.5,1,2,22,40,38,0,25
